unique_id,filename,source,corpus,date,word_count,path
FED_0065,FED_0065-2021-05-26.txt,FED,FED,2021-05-26,2206,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0065-2021-05-26.txt
FED_0072,FED_0072-2021-04-14.txt,FED,FED,2021-04-14,4440,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0072-2021-04-14.txt
FED_0161,FED_0161-2022-02-18.txt,FED,FED,2022-02-18,864,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0161-2022-02-18.txt
FED_0244,FED_0244-2025-02-27.txt,FED,FED,2025-02-27,1728,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0244-2025-02-27.txt
FED_0436,FED_0436-2024-04-03.txt,FED,FED,2024-04-03,1512,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0436-2024-04-03.txt
FED_0259,FED_0259-2023-10-09.txt,FED,FED,2023-10-09,2476,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0259-2023-10-09.txt
FED_0207,FED_0207-2024-03-27.txt,FED,FED,2024-03-27,2876,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0207-2024-03-27.txt
FED_0422,FED_0422-2021-11-29.txt,FED,FED,2021-11-29,2051,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0422-2021-11-29.txt
FED_0356,FED_0356-2024-05-10.txt,FED,FED,2024-05-10,4334,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0356-2024-05-10.txt
FED_0114,FED_0114-2021-11-19.txt,FED,FED,2021-11-19,3104,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0114-2021-11-19.txt
FED_0002,FED_0002-2021-06-01.txt,FED,FED,2021-06-01,3768,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0002-2021-06-01.txt
FED_0294,FED_0294-2023-02-16.txt,FED,FED,2023-02-16,1302,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0294-2023-02-16.txt
FED_0211,FED_0211-2023-11-09.txt,FED,FED,2023-11-09,6120,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0211-2023-11-09.txt
FED_0445,FED_0445-2023-11-08.txt,FED,FED,2023-11-08,920,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0445-2023-11-08.txt
FED_0405,FED_0405-2021-03-22.txt,FED,FED,2021-03-22,2817,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0405-2021-03-22.txt
FED_0250,FED_0250-2022-08-26.txt,FED,FED,2022-08-26,1500,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0250-2022-08-26.txt
FED_0174,FED_0174-2023-11-07.txt,FED,FED,2023-11-07,1459,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0174-2023-11-07.txt
FED_0005,FED_0005-2024-03-01.txt,FED,FED,2024-03-01,5059,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0005-2024-03-01.txt
FED_0110,FED_0110-2022-02-18.txt,FED,FED,2022-02-18,864,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0110-2022-02-18.txt
FED_0182,FED_0182-2022-09-28.txt,FED,FED,2022-09-28,3997,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0182-2022-09-28.txt
FED_0304,FED_0304-2024-06-17.txt,FED,FED,2024-06-17,1640,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0304-2024-06-17.txt
FED_0231,FED_0231-2023-03-29.txt,FED,FED,2023-03-29,707,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0231-2023-03-29.txt
FED_0264,FED_0264-2023-07-18.txt,FED,FED,2023-07-18,2154,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0264-2023-07-18.txt
FED_0432,FED_0432-2025-10-07.txt,FED,FED,2025-10-07,1164,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0432-2025-10-07.txt
FED_0071,FED_0071-2021-06-28.txt,FED,FED,2021-06-28,3668,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0071-2021-06-28.txt
FED_0168,FED_0168-2024-03-01.txt,FED,FED,2024-03-01,4121,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0168-2024-03-01.txt
FED_0433,FED_0433-2023-10-04.txt,FED,FED,2023-10-04,4776,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0433-2023-10-04.txt
FED_0173,FED_0173-2024-01-16.txt,FED,FED,2024-01-16,2896,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0173-2024-01-16.txt
FED_0187,FED_0187-2023-03-14.txt,FED,FED,2023-03-14,5000,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0187-2023-03-14.txt
FED_0230,FED_0230-2025-07-15.txt,FED,FED,2025-07-15,2313,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0230-2025-07-15.txt
FED_0290,FED_0290-2024-11-20.txt,FED,FED,2024-11-20,2641,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0290-2024-11-20.txt
FED_0192,FED_0192-2024-10-18.txt,FED,FED,2024-10-18,2300,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0192-2024-10-18.txt
